country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-01-24,292023,260036,31987,10342,0.64,0.57,0.07,227,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-01-23,288064,258876,29188,11124,0.63,0.57,0.06,244,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-01-22,279602,254456,25146,11263,0.61,0.56,0.06,247,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-01-21,265724,249372,16352,11704,0.58,0.55,0.04,257,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-01-20,247933,243539,4394,11586,0.54,0.53,0.01,254,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-05-23,11067550,8701971,2365579,162824,24.27,19.08,5.19,3570,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-02-15,609791,372181,237610,14030,1.34,0.82,0.52,308,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-10-04,5201468,4478948,722520,146082,11.41,9.82,1.58,3203,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-02-13,606245,371629,234616,19266,1.33,0.81,0.51,422,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-09-05,9082597,7688877,1393720,154956,19.92,16.86,3.06,3398,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-05-21,10758782,8531073,2227709,150631,23.59,18.71,4.88,3303,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-20,10549521,8397337,2152184,144001,23.13,18.41,4.72,3158,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-19,10383925,8279961,2103964,142854,22.77,18.16,4.61,3132,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-10-05,9122759,7718272,1404487,154709,20.0,16.92,3.08,3392,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,October,South America
Argentina,ARG,2021-08-05,9001747,7660652,1341095,147182,19.74,16.8,2.94,3227,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,August,South America
